timestamp, mode, 40 Z, 40 TD, 42.077 Z, 42.077 TD, 44.263 Z, 44.263 TD, 46.562 Z, 46.562 TD, 48.98 Z, 48.98 TD, 51.524 Z, 51.524 TD, 54.2 Z, 54.2 TD, 57.015 Z, 57.015 TD, 59.976 Z, 59.976 TD, 63.091 Z, 63.091 TD, 66.368 Z, 66.368 TD, 69.815 Z, 69.815 TD, 73.441 Z, 73.441 TD, 77.255 Z, 77.255 TD, 81.267 Z, 81.267 TD, 85.488 Z, 85.488 TD, 89.928 Z, 89.928 TD, 94.599 Z, 94.599 TD, 99.512 Z, 99.512 TD, 104.68 Z, 104.68 TD, 110.117 Z, 110.117 TD, 115.836 Z, 115.836 TD, 121.852 Z, 121.852 TD, 128.181 Z, 128.181 TD, 134.838 Z, 134.838 TD, 141.841 Z, 141.841 TD, 149.208 Z, 149.208 TD, 156.957 Z, 156.957 TD, 165.109 Z, 165.109 TD, 173.685 Z, 173.685 TD, 182.705 Z, 182.705 TD, 192.194 Z, 192.194 TD, 202.176 Z, 202.176 TD, 212.677 Z, 212.677 TD, 223.723 Z, 223.723 TD, 235.342 Z, 235.342 TD, 247.565 Z, 247.565 TD, 260.423 Z, 260.423 TD, 273.948 Z, 273.948 TD, 288.176 Z, 288.176 TD, 303.143 Z, 303.143 TD, 318.888 Z, 318.888 TD, 335.45 Z, 335.45 TD, 352.872 Z, 352.872 TD, 371.199 Z, 371.199 TD, 390.478 Z, 390.478 TD, 410.758 Z, 410.758 TD, 432.092 Z, 432.092 TD, 454.533 Z, 454.533 TD, 478.14 Z, 478.14 TD, 502.973 Z, 502.973 TD, 529.096 Z, 529.096 TD, 556.576 Z, 556.576 TD, 585.483 Z, 585.483 TD, 615.891 Z, 615.891 TD, 647.878 Z, 647.878 TD, 681.527 Z, 681.527 TD, 716.924 Z, 716.924 TD, 754.158 Z, 754.158 TD, 793.327 Z, 793.327 TD, 834.53 Z, 834.53 TD, 877.873 Z, 877.873 TD, 923.467 Z, 923.467 TD, 971.429 Z, 971.429 TD, 1021.882 Z, 1021.882 TD, 1074.956 Z, 1074.956 TD, 1130.785 Z, 1130.785 TD, 1189.515 Z, 1189.515 TD, 1251.295 Z, 1251.295 TD, 1316.283 Z, 1316.283 TD, 1384.647 Z, 1384.647 TD, 1456.561 Z, 1456.561 TD, 1532.21 Z, 1532.21 TD, 1611.789 Z, 1611.789 TD, 1695.5 Z, 1695.5 TD, 1783.559 Z, 1783.559 TD, 1876.192 Z, 1876.192 TD, 1973.635 Z, 1973.635 TD, 2076.14 Z, 2076.14 TD, 2183.968 Z, 2183.968 TD, 2297.397 Z, 2297.397 TD, 2416.716 Z, 2416.716 TD, 2542.233 Z, 2542.233 TD, 2674.269 Z, 2674.269 TD, 2813.162 Z, 2813.162 TD, 2959.269 Z, 2959.269 TD, 3112.965 Z, 3112.965 TD, 3274.643 Z, 3274.643 TD, 3444.717 Z, 3444.717 TD, 3623.625 Z, 3623.625 TD, 3811.825 Z, 3811.825 TD, 4009.8 Z, 4009.8 TD, 4218.057 Z, 4218.057 TD, 4437.129 Z, 4437.129 TD, 4667.58 Z, 4667.58 TD, 4910 Z, 4910 TD, 5165.01 Z, 5165.01 TD, 5433.265 Z, 5433.265 TD, 5715.452 Z, 5715.452 TD, 6012.295 Z, 6012.295 TD, 6324.555 Z, 6324.555 TD, 6653.033 Z, 6653.033 TD, 6998.571 Z, 6998.571 TD, 7362.056 Z, 7362.056 TD, 7744.418 Z, 7744.418 TD, 8146.639 Z, 8146.639 TD, 8569.751 Z, 8569.751 TD, 9014.837 Z, 9014.837 TD, 9483.04 Z, 9483.04 TD, 9975.56 Z, 9975.56 TD, 10493.66 Z, 10493.66 TD, 11038.669 Z, 11038.669 TD, 11611.983 Z, 11611.983 TD, 12215.074 Z, 12215.074 TD, 12849.487 Z, 12849.487 TD, 13516.85 Z, 13516.85 TD, 14218.874 Z, 14218.874 TD, 14957.358 Z, 14957.358 TD, 15734.197 Z, 15734.197 TD, 16551.383 Z, 16551.383 TD, 17411.011 Z, 17411.011 TD, 18315.286 Z, 18315.286 TD, 19266.525 Z, 19266.525 TD, 20267.169 Z, 20267.169 TD, 21319.784 Z, 21319.784 TD, 22427.068 Z, 22427.068 TD, 23591.861 Z, 23591.861 TD, 24817.149 Z, 24817.149 TD, 26106.076 Z, 26106.076 TD, 27461.945 Z, 27461.945 TD, 28888.234 Z, 28888.234 TD, 30388.6 Z, 30388.6 TD, 31966.891 Z, 31966.891 TD, 33627.153 Z, 33627.153 TD, 35373.644 Z, 35373.644 TD, 37210.842 Z, 37210.842 TD, 39143.459 Z, 39143.459 TD, 41176.45 Z, 41176.45 TD, 43315.028 Z, 43315.028 TD, 45564.677 Z, 45564.677 TD, 47931.166 Z, 47931.166 TD, 50420.564 Z, 50420.564 TD, 53039.253 Z, 53039.253 TD, 55793.949 Z, 55793.949 TD, 58691.715 Z, 58691.715 TD, 61739.982 Z, 61739.982 TD, 64946.567 Z, 64946.567 TD, 68319.692 Z, 68319.692 TD, 71868.006 Z, 71868.006 TD, 75600.61 Z, 75600.61 TD, 79527.073 Z, 79527.073 TD, 83657.465 Z, 83657.465 TD, 88002.376 Z, 88002.376 TD, 92572.949 Z, 92572.949 TD, 97380.903 Z, 97380.903 TD, 102438.568 Z, 102438.568 TD, 107758.912 Z, 107758.912 TD, 113355.579 Z, 113355.579 TD, 119242.919 Z, 119242.919 TD, 125436.029 Z, 125436.029 TD, 131950.791 Z, 131950.791 TD, 138803.909 Z, 138803.909 TD, 146012.958 Z, 146012.958 TD, 153596.422 Z, 153596.422 TD, 161573.748 Z, 161573.748 TD, 169965.391 Z, 169965.391 TD, 178792.871 Z, 178792.871 TD, 188078.823 Z, 188078.823 TD, 197847.059 Z, 197847.059 TD, 208122.627 Z, 208122.627 TD, 218931.876 Z, 218931.876 TD, 230302.525 Z, 230302.525 TD, 242263.73 Z, 242263.73 TD, 254846.163 Z, 254846.163 TD, 268082.089 Z, 268082.089 TD, 282005.448 Z, 282005.448 TD, 296651.944 Z, 296651.944 TD, 312059.134 Z, 312059.134 TD, 328266.526 Z, 328266.526 TD, 345315.68 Z, 345315.68 TD, 363250.315 Z, 363250.315 TD, 382116.419 Z, 382116.419 TD, 401962.371 Z, 401962.371 TD, 422839.061 Z, 422839.061 TD, 444800.021 Z, 444800.021 TD, 467901.567 Z, 467901.567 TD, 492202.935 Z, 492202.935 TD, 517766.442 Z, 517766.442 TD, 544657.639 Z, 544657.639 TD, 572945.483 Z, 572945.483 TD, 602702.509 Z, 602702.509 TD, 634005.024 Z, 634005.024 TD, 666933.296 Z, 666933.296 TD, 701571.761 Z, 701571.761 TD, 738009.241 Z, 738009.241 TD, 776339.172 Z, 776339.172 TD, 816659.841 Z, 816659.841 TD, 859074.642 Z, 859074.642 TD, 903692.338 Z, 903692.338 TD, 950627.339 Z, 950627.339 TD, 1000000 Z, 1000000 TD
1756930123486, , 381.788, -42.6957, 371.603, -41.8908, 362.944, -41.1652, 354.886, -40.4777, 347.258, -39.7911, 340.094, -39.1051, 333.215, -38.4271, 326.656, -37.7419, 320.335, -37.0635, 314.274, -36.3808, 308.483, -35.6856, 302.941, -35.0106, 297.647, -34.327, 292.564, -33.6316, 287.689, -32.9491, 282.968, -32.2554, 278.461, -31.5817, 274.144, -30.8921, 270.013, -30.2162, 266.098, -29.5365, 262.285, -28.8546, 258.613, -28.1817, 255.122, -27.5043, 251.774, -26.8334, 248.571, -26.1593, 245.59, -25.5118, 242.653, -24.8538, 239.741, -24.1984, 237.058, -23.5619, 234.515, -22.9152, 232.116, -22.2911, 229.757, -21.6584, 227.537, -21.0512, 225.387, -20.4382, 223.407, -19.8325, 221.467, -19.2354, 219.652, -18.6633, 217.872, -18.0793, 216.258, -17.5246, 214.641, -16.96, 213.161, -16.4214, 211.735, -15.882, 210.363, -15.3549, 209.073, -14.8481, 207.872, -14.346, 206.731, -13.8658, 205.653, -13.382, 204.604, -12.9153, 203.672, -12.4526, 202.713, -12.0133, 201.859, -11.5764, 201.05, -11.1631, 200.283, -10.7485, 199.535, -10.3497, 198.881, -9.96486, 198.229, -9.59723, 197.606, -9.23599, 197.057, -8.88841, 196.509, -8.55236, 196.005, -8.22648, 195.539, -7.9141, 195.086, -7.60615, 194.672, -7.31769, 194.295, -7.0362, 193.919, -6.7701, 193.579, -6.51063, 193.251, -6.25828, 192.946, -6.01778, 192.666, -5.79325, 192.397, -5.57359, 192.148, -5.35826, 191.906, -5.15825, 191.685, -4.96689, 191.477, -4.78374, 191.288, -4.60825, 191.092, -4.4438, 190.931, -4.28778, 190.766, -4.13604, 190.614, -3.99603, 190.473, -3.86023, 190.341, -3.73649, 190.213, -3.61494, 190.096, -3.50456, 189.984, -3.40077, 189.876, -3.30141, 189.78, -3.20949, 189.687, -3.12351, 189.595, -3.04606, 189.514, -2.97382, 189.436, -2.90861, 189.364, -2.84784, 189.294, -2.79599, 189.23, -2.7468, 189.164, -2.70613, 189.103, -2.67047, 189.047, -2.6407, 188.994, -2.61607, 188.946, -2.59892, 188.896, -2.58458, 188.852, -2.57927, 188.797, -2.5779, 188.759, -2.58278, 188.715, -2.59557, 188.678, -2.61064, 188.638, -2.63564, 188.6, -2.66479, 188.565, -2.70099, 188.529, -2.74222, 188.486, -2.7918, 188.451, -2.84694, 188.423, -2.90756, 188.378, -2.97783, 188.346, -3.05156, 188.312, -3.13774, 188.271, -3.22871, 188.233, -3.32918, 188.195, -3.43515, 188.154, -3.55357, 188.112, -3.67721, 188.071, -3.80827, 188.02, -3.95342, 187.972, -4.10658, 187.925, -4.27025, 187.861, -4.44387, 187.804, -4.62784, 187.74, -4.82503, 187.676, -5.03095, 187.589, -5.25351, 187.506, -5.48766, 187.422, -5.7325, 187.32, -5.99441, 187.212, -6.27224, 187.102, -6.56281, 186.976, -6.87162, 186.833, -7.19531, 186.683, -7.53841, 186.528, -7.8996, 186.333, -8.27865, 186.14, -8.67815, 185.919, -9.09825, 185.67, -9.54252, 185.405, -10.0082, 185.118, -10.4962, 184.802, -11.0094, 184.445, -11.5471, 184.055, -12.1156, 183.632, -12.7084, 183.166, -13.328, 182.663, -13.9809, 182.095, -14.6605, 181.484, -15.3735, 180.819, -16.1194, 180.084, -16.8952, 179.295, -17.7091, 178.426, -18.5559, 177.474, -19.4311, 176.429, -20.3646, 175.307, -21.3182, 174.109, -22.2954, 172.795, -23.3246, 171.352, -24.4014, 169.835, -25.4969, 168.192, -26.631, 166.422, -27.808, 164.518, -29.0182, 162.5, -30.2594, 160.355, -31.5255, 158.07, -32.8291, 155.669, -34.1485, 153.116, -35.5059, 150.435, -36.8788, 147.634, -38.2827, 144.697, -39.6999, 141.675, -41.1175, 138.504, -42.5619, 135.258, -44, 131.9, -45.4517, 128.475, -46.8934, 124.977, -48.3311, 121.43, -49.7604, 117.815, -51.1834, 114.194, -52.5833, 110.535, -53.9726, 106.885, -55.3313, 103.226, -56.6737, 99.5892, -57.9868, 95.9856, -59.2718, 92.416, -60.5276, 88.8963, -61.7524, 85.447, -62.9347, 82.0469, -64.093, 78.7279, -65.2071, 75.4831, -66.2916, 72.3208, -67.3372, 69.2527, -68.3475, 66.2738, -69.3187, 63.3787, -70.2572, 60.588, -71.1592, 57.8905, -72.0257, 55.2914, -72.8541, 52.784, -73.6542
1756930160254, , 379.586, -42.5647, 369.885, -41.7655, 361.423, -41.0651, 353.575, -40.374, 346.135, -39.6934, 339.064, -39.0118, 332.292, -38.337, 325.776, -37.6564, 319.532, -36.9692, 313.537, -36.2949, 307.826, -35.6026, 302.292, -34.9275, 297.052, -34.2445, 292.02, -33.5607, 287.172, -32.8661, 282.498, -32.1857, 278.028, -31.514, 273.74, -30.8236, 269.685, -30.1475, 265.679, -29.4565, 261.905, -28.7828, 258.317, -28.121, 254.806, -27.4218, 251.431, -26.7657, 248.279, -26.1153, 245.251, -25.4438, 242.317, -24.7746, 239.548, -24.1286, 236.892, -23.4874, 234.321, -22.8544, 231.899, -22.2187, 229.579, -21.6006, 227.409, -20.9758, 225.278, -20.3761, 223.243, -19.7756, 221.342, -19.1882, 219.5, -18.5975, 217.772, -18.0374, 216.105, -17.4611, 214.543, -16.9168, 213.072, -16.3703, 211.62, -15.8356, 210.277, -15.3224, 209.019, -14.805, 207.801, -14.3049, 206.652, -13.8067, 205.563, -13.3303, 204.561, -12.8682, 203.57, -12.4197, 202.708, -11.9716, 201.836, -11.5454, 201.002, -11.1222, 200.223, -10.7209, 199.521, -10.3256, 198.828, -9.94457, 198.189, -9.56789, 197.604, -9.21321, 197.026, -8.86743, 196.475, -8.5259, 195.978, -8.20556, 195.494, -7.88887, 195.06, -7.58913, 194.653, -7.29872, 194.259, -7.01785, 193.91, -6.75159, 193.558, -6.49295, 193.226, -6.24546, 192.93, -6.00372, 192.642, -5.7763, 192.369, -5.55779, 192.118, -5.34657, 191.889, -5.14593, 191.671, -4.95692, 191.461, -4.77219, 191.263, -4.60057, 191.09, -4.43499, 190.913, -4.2783, 190.745, -4.12761, 190.596, -3.9894, 190.459, -3.85316, 190.323, -3.72662, 190.188, -3.61021, 190.084, -3.49715, 189.97, -3.39199, 189.861, -3.2951, 189.767, -3.20169, 189.668, -3.11839, 189.578, -3.04135, 189.492, -2.96852, 189.416, -2.90302, 189.343, -2.84414, 189.271, -2.79031, 189.21, -2.74388, 189.145, -2.70042, 189.091, -2.66523, 189.025, -2.63663, 188.978, -2.61296, 188.928, -2.59481, 188.873, -2.5832, 188.824, -2.57753, 188.78, -2.57593, 188.735, -2.58017, 188.696, -2.59105, 188.651, -2.61071, 188.616, -2.63266, 188.581, -2.6619, 188.545, -2.69952, 188.508, -2.7401, 188.472, -2.78888, 188.435, -2.84568, 188.403, -2.90531, 188.364, -2.97632, 188.33, -3.05108, 188.294, -3.13569, 188.253, -3.22679, 188.214, -3.32685, 188.177, -3.43467, 188.134, -3.55022, 188.092, -3.6753, 188.051, -3.81012, 188.001, -3.95105, 187.953, -4.10656, 187.91, -4.26893, 187.841, -4.44312, 187.789, -4.62776, 187.721, -4.82232, 187.651, -5.03039, 187.575, -5.25322, 187.489, -5.48674, 187.4, -5.73149, 187.303, -5.99439, 187.197, -6.26983, 187.084, -6.56384, 186.959, -6.87046, 186.811, -7.19495, 186.666, -7.53626, 186.503, -7.89738, 186.324, -8.27686, 186.114, -8.67792, 185.899, -9.09846, 185.657, -9.5413, 185.391, -10.0065, 185.098, -10.4971, 184.779, -11.007, 184.435, -11.5475, 184.035, -12.1115, 183.618, -12.7055, 183.148, -13.3265, 182.645, -13.9783, 182.083, -14.658, 181.47, -15.3729, 180.804, -16.1168, 180.068, -16.8942, 179.269, -17.7074, 178.404, -18.554, 177.462, -19.4291, 176.42, -20.3608, 175.296, -21.3165, 174.102, -22.2933, 172.784, -23.3215, 171.346, -24.4017, 169.821, -25.4932, 168.172, -26.6287, 166.412, -27.8059, 164.513, -29.0159, 162.486, -30.2558, 160.346, -31.5241, 158.058, -32.8276, 155.662, -34.1449, 153.112, -35.5029, 150.445, -36.8789, 147.624, -38.2804, 144.692, -39.6981, 141.666, -41.1144, 138.501, -42.5573, 135.25, -43.9976, 131.894, -45.4476, 128.468, -46.8917, 124.974, -48.3298, 121.426, -49.7579, 117.811, -51.181, 114.189, -52.5795, 110.526, -53.9696, 106.882, -55.3284, 103.226, -56.6719, 99.5904, -57.9843, 95.9856, -59.2694, 92.412, -60.5239, 88.8945, -61.7479, 85.4487, -62.9307, 82.0454, -64.0897, 78.7237, -65.2048, 75.4835, -66.2901, 72.3198, -67.3349, 69.2511, -68.3451, 66.2725, -69.3164, 63.3785, -70.2561, 60.5862, -71.1568, 57.8902, -72.0224, 55.2918, -72.8541, 52.7848, -73.6536
1756930197005, , 378.884, -42.5166, 369.338, -41.7389, 360.91, -41.0176, 353.008, -40.3466, 345.622, -39.6521, 338.58, -38.9666, 331.824, -38.3021, 325.359, -37.6122, 319.132, -36.9351, 313.161, -36.2565, 307.454, -35.5666, 301.984, -34.8876, 296.725, -34.2083, 291.737, -33.5159, 286.892, -32.834, 282.245, -32.1402, 277.803, -31.4676, 273.508, -30.7746, 269.438, -30.0969, 265.471, -29.4275, 261.693, -28.7487, 258.129, -28.0744, 254.604, -27.3951, 251.321, -26.7388, 248.16, -26.0596, 245.134, -25.4022, 242.217, -24.7457, 239.408, -24.0836, 236.735, -23.4486, 234.205, -22.8041, 231.761, -22.1852, 229.483, -21.5536, 227.278, -20.9384, 225.164, -20.3352, 223.166, -19.7309, 221.224, -19.152, 219.423, -18.5658, 217.7, -18.0063, 216.025, -17.4343, 214.484, -16.8847, 212.97, -16.3369, 211.546, -15.8043, 210.231, -15.2883, 208.97, -14.7807, 207.766, -14.2736, 206.593, -13.7904, 205.507, -13.3114, 204.517, -12.8436, 203.553, -12.3942, 202.641, -11.9489, 201.794, -11.5199, 200.964, -11.1103, 200.206, -10.6971, 199.476, -10.3009, 198.803, -9.92428, 198.163, -9.55336, 197.552, -9.19489, 197.006, -8.84824, 196.442, -8.51414, 195.946, -8.18882, 195.486, -7.87818, 195.032, -7.57415, 194.621, -7.28781, 194.246, -7.00585, 193.873, -6.74372, 193.534, -6.48206, 193.203, -6.23074, 192.889, -5.99551, 192.619, -5.76997, 192.36, -5.54931, 192.109, -5.33772, 191.867, -5.13696, 191.648, -4.94911, 191.436, -4.76607, 191.245, -4.59306, 191.057, -4.4284, 190.888, -4.27124, 190.716, -4.1201, 190.576, -3.98241, 190.428, -3.84766, 190.301, -3.72246, 190.173, -3.60422, 190.05, -3.49314, 189.945, -3.3879, 189.841, -3.29015, 189.745, -3.19974, 189.644, -3.11548, 189.554, -3.03772, 189.471, -2.96601, 189.394, -2.90029, 189.322, -2.84041, 189.252, -2.78667, 189.188, -2.74098, 189.124, -2.69959, 189.065, -2.66317, 189.015, -2.63429, 188.957, -2.61146, 188.907, -2.59204, 188.855, -2.58018, 188.811, -2.57272, 188.761, -2.57383, 188.718, -2.57945, 188.675, -2.58986, 188.637, -2.60801, 188.597, -2.63181, 188.561, -2.6601, 188.521, -2.69551, 188.484, -2.73847, 188.455, -2.78906, 188.413, -2.8441, 188.383, -2.90507, 188.339, -2.97529, 188.308, -3.04968, 188.268, -3.13424, 188.23, -3.22527, 188.192, -3.32481, 188.156, -3.43307, 188.109, -3.54952, 188.071, -3.6736, 188.023, -3.80832, 187.99, -3.94985, 187.932, -4.10498, 187.882, -4.26785, 187.825, -4.44216, 187.762, -4.62623, 187.697, -4.82035, 187.628, -5.03033, 187.548, -5.25163, 187.473, -5.48658, 187.384, -5.73155, 187.284, -5.99378, 187.18, -6.27271, 187.064, -6.56064, 186.937, -6.86912, 186.805, -7.19223, 186.649, -7.53683, 186.477, -7.89713, 186.3, -8.27825, 186.098, -8.6759, 185.883, -9.09521, 185.631, -9.53931, 185.366, -10.0047, 185.077, -10.4944, 184.763, -11.0063, 184.406, -11.5453, 184.024, -12.1106, 183.597, -12.7054, 183.13, -13.3252, 182.619, -13.9758, 182.071, -14.6578, 181.451, -15.3698, 180.787, -16.1156, 180.052, -16.8927, 179.252, -17.7041, 178.385, -18.5522, 177.448, -19.4274, 176.396, -20.3586, 175.279, -21.3153, 174.087, -22.2909, 172.766, -23.3209, 171.328, -24.3974, 169.804, -25.4909, 168.161, -26.6273, 166.387, -27.8033, 164.495, -29.0125, 162.471, -30.2542, 160.332, -31.5201, 158.048, -32.8236, 155.647, -34.1432, 153.102, -35.4992, 150.422, -36.8803, 147.617, -38.2752, 144.682, -39.6933, 141.661, -41.1109, 138.491, -42.5554, 135.243, -43.9939, 131.885, -45.4437, 128.463, -46.8879, 124.967, -48.326, 121.42, -49.7536, 117.808, -51.1772, 114.187, -52.5773, 110.527, -53.9654, 106.882, -55.3254, 103.221, -56.6678, 99.59, -57.9818, 95.9842, -59.2664, 92.4124, -60.5216, 88.8925, -61.7467, 85.4418, -62.9294, 82.0465, -64.0858, 78.7227, -65.2026, 75.4822, -66.2863, 72.3174, -67.3313, 69.2487, -68.3425, 66.2729, -69.315, 63.3792, -70.2534, 60.588, -71.155, 57.8919, -72.0216, 55.2905, -72.8513, 52.7844, -73.6508
